year,month,day,nextyear,nextmonth,nextday
1800,1,1,1800,1,2
1800,1,3,1800,1,4
1800,1,15,1800,1,16
1800,1,28,1800,1,29
1800,1,31,1800,2,1
1800,2,1,1800,2,2
1800,2,3,1800,2,4
1800,2,15,1800,2,16
1800,2,28,1800,3,1
1800,2,31,-1,-1,-1
1800,6,1,1800,6,2
1800,6,3,1800,6,4
1800,6,15,1800,6,16
1800,6,28,1800,6,29
1800,6,31,-1,-1,-1
1800,11,1,1800,11,2
1800,11,3,1800,11,4
1800,11,15,1800,11,16
1800,11,28,1800,11,29
1800,11,31,-1,-1,-1
1800,12,1,1800,12,2
1800,12,3,1800,12,4
1800,12,15,1800,12,16
1800,12,28,1800,12,29
1800,12,31,1801,1,1
1802,1,1,1802,1,2
1802,1,3,1802,1,4
1802,1,15,1802,1,16
1802,1,28,1802,1,29
1802,1,31,1802,2,1
1802,2,1,1802,2,2
1802,2,3,1802,2,4
1802,2,15,1802,2,16
1802,2,28,1802,3,1
1802,2,31,-1,-1,-1
1802,6,1,1802,6,2
1802,6,3,1802,6,4
1802,6,15,1802,6,16
1802,6,28,1802,6,29
1802,6,31,-1,-1,-1
1802,11,1,1802,11,2
1802,11,3,1802,11,4
1802,11,15,1802,11,16
1802,11,28,1802,11,29
1802,11,31,-1,-1,-1
1802,12,1,1802,12,2
1802,12,3,1802,12,4
1802,12,15,1802,12,16
1802,12,28,1802,12,29
1802,12,31,1803,1,1
2400,1,1,2400,1,2
2400,1,3,2400,1,4
2400,1,15,2400,1,16
2400,1,28,2400,1,29
2400,1,31,2400,2,1
2400,2,1,2400,2,2
2400,2,3,2400,2,4
2400,2,15,2400,2,16
2400,2,28,2400,2,29
2400,2,31,-1,-1,-1
2400,6,1,2400,6,2
2400,6,3,2400,6,4
2400,6,15,2400,6,16
2400,6,28,2400,6,29
2400,6,31,-1,-1,-1
2400,11,1,2400,11,2
2400,11,3,2400,11,4
2400,11,15,2400,11,16
2400,11,28,2400,11,29
2400,11,31,-1,-1,-1
2400,12,1,2400,12,2
2400,12,3,2400,12,4
2400,12,15,2400,12,16
2400,12,28,2400,12,29
2400,12,31,2401,1,1
2998,1,1,2998,1,2
2998,1,3,2998,1,4
2998,1,15,2998,1,16
2998,1,28,2998,1,29
2998,1,31,2998,2,1
2998,2,1,2998,2,2
2998,2,3,2998,2,4
2998,2,15,2998,2,16
2998,2,28,2998,3,1
2998,2,31,-1,-1,-1
2998,6,1,2998,6,2
2998,6,3,2998,6,4
2998,6,15,2998,6,16
2998,6,28,2998,6,29
2998,6,31,-1,-1,-1
2998,11,1,2998,11,2
2998,11,3,2998,11,4
2998,11,15,2998,11,16
2998,11,28,2998,11,29
2998,11,31,-1,-1,-1
2998,12,1,2998,12,2
2998,12,3,2998,12,4
2998,12,15,2998,12,16
2998,12,28,2998,12,29
2998,12,31,2999,1,1
3000,1,1,3000,1,2
3000,1,3,3000,1,4
3000,1,15,3000,1,16
3000,1,28,3000,1,29
3000,1,31,3000,2,1
3000,2,1,3000,2,2
3000,2,3,3000,2,4
3000,2,15,3000,2,16
3000,2,28,3000,3,1
3000,2,31,-1,-1,-1
3000,6,1,3000,6,2
3000,6,3,3000,6,4
3000,6,15,3000,6,16
3000,6,28,3000,6,29
3000,6,31,-1,-1,-1
3000,11,1,3000,11,2
3000,11,3,3000,11,4
3000,11,15,3000,11,16
3000,11,28,3000,11,29
3000,11,31,-1,-1,-1
3000,12,1,3000,12,2
3000,12,3,3000,12,4
3000,12,15,3000,12,16
3000,12,28,3000,12,29
3000,12,31,-1,-1,-1
