year,month,day,nextyear,nextmonth,nextday
1804,1,1,1804,1,2
1812,3,28,1812,3,29
1836,5,29,1836,5,30
1840,7,30,1840,7,31
1860,8,31,1860,9,1
1872,2,3,1872,2,4
1904,2,28,1904,2,29
1912,2,29,1912,3,1
1936,2,30,-1,-1,-1
1940,2,31,-1,-1,-1
1960,4,5,1960,4,6
1972,6,28,1972,6,29
2004,9,29,2004,9,30
2012,11,30,2012,12,1
2036,4,31,-1,-1,-1
2040,12,7,2040,12,8
2060,12,28,2060,12,29
2072,12,29,2072,12,30
2076,12,30,2076,12,31
2090,12,31,2091,1,1
2000,3,9,2000,3,10
2400,5,28,2400,5,29
2800,7,29,2800,7,30
2000,8,30,2000,8,31
2400,10,31,2400,11,1
2800,2,11,2800,2,12
2000,2,28,2000,2,29
2400,2,29,2400,3,1
2800,2,30,-1,-1,-1
2000,2,31,-1,-1,-1
2400,4,13,2400,4,14
2800,6,28,2800,6,29
2000,9,29,2000,9,30
2400,11,30,2400,12,1
2800,6,31,-1,-1,-1
2000,12,15,2000,12,16
2400,12,28,2400,12,29
2800,12,29,2800,12,30
2000,12,30,2000,12,31
2400,12,31,2401,1,1
1800,3,17,1800,3,18
1802,1,28,1802,1,29
1822,7,29,1822,7,30
1842,8,30,1842,8,31
1893,10,31,1893,11,1
1901,2,19,1901,2,20
1905,2,28,1905,3,1
1933,2,29,-1,-1,-1
1945,2,30,-1,-1,-1
1954,2,31,-1,-1,-1
1962,4,21,1962,4,22
1977,6,28,1977,6,29
2001,9,29,2001,9,30
2007,11,30,2007,12,1
2022,9,31,-1,-1,-1
2034,12,23,2034,12,24
2146,12,28,2146,12,29
2055,12,29,2055,12,30
2074,12,30,2074,12,31
2098,12,31,2099,1,1
